a / an	неопределённый артикль (a/an)
OK	хорошо
old	старый
old-fashioned	старомодный
on	на
once	однажды
one	один
onion	лук
online	онлайн
only	только
onto	на
open	открыть
opening	открытие
operate	работают
operation	операция
opinion	мнение
opponent	противник
opportunity	возможность
oppose	против
opposed	против
opposite	обратное
opposition	оппозиция
option	параметр
or	или
orange	оранжевый
order	заказ
ordinary	обычные
organ	орган
organization	организации
organize	организовать
organized	организован
organizer	организатор
origin	происхождение
original	исходный текст
originally	первоначально
other	другие
otherwise	в противном случае
ought	следует; должен (ought to)
our	наши
ours	наша
ourselves	сами
out	выход
outcome	результат; исход
outdoor	открытый
outdoors	на открытом воздухе
outer	наружная
outline	наброски
outside	за пределами
oven	печь
over	над
overall	общая
overseas	за границей; заморский
owe	долг
own	собственный
owner	владелец
pace	темп
pack	пакет
package	пакет
page	страница
pain	боль
painful	болезненные
paint	краска
painter	художник
painting	живопись
pair	пара
palace	дворец
pale	бледный
pan	сковорода
panel	группа
pants	брюки
paper	бумага
paragraph	абзац; параграф
parent	родитель
park	парк
parking	парковка
part	часть
participant	участник
participate	участвовать
particular	особое
particularly	особенно
partly	частично
partner	партнер
party	партия
pass	перевал
passage	проход
passenger	пассажирские
passion	страсть; увлечение
passport	паспорт
past	прошлое
path	путь
patient	пациент
pattern	шаблон
pay	оплатить
payment	оплата
peace	мир
peaceful	мирных
pen	ручка
pencil	карандаш
penny	пенни
people	люди
pepper	перец
per	за
percent	процент
percentage	процент; доля
perfect	идеальный
perfectly	отлично
perform	выполнить
performance	производительность
perhaps	возможно
period	период
permanent	постоянный
permission	разрешение
permit	разрешение
person	лица
personal	личное
personality	личность
personally	лично
perspective	перспектива; точка зрения
persuade	убедить
pet	домашнее животное
phase	фаза
phenomenon	феномен; явление
philosophy	философия
phone	телефон
photo	фото
photograph	фотография
photographer	фотограф
photography	фотография
phrase	фраза
physical	физическая
physics	физика
piano	фортепиано
pick	выбрать
picture	фотография
piece	кусок
pig	свинья
pile	ворс
pilot	пилот
pin	PIN-код
pink	розовый
pipe	труба
pitch	шаг
place	место
plain	равнина
plan	план
plane	самолет
planet	планета
planning	планирование
plant	завод
plastic	пластик
plate	плита
platform	платформа
play	играть
player	игрок
pleasant	достаточно хорошо
please	пожалуйста
pleased	приятно
pleasure	удовольствие
plenty	много
plot	участок
plus1	плюс; знак +
pocket	карман
poem	стихотворение
poet	поэт
poetry	поэзия
point	точки
pointed	указывает
poison	яд
poisonous	ядовитые
police	полиция
policeman	полицейский
policy	политика
polite	вежливо
political	политические
politician	политик
politics	политика
pollution	загрязнение
pool	бассейн
poor	плохое
pop	поп
popular	популярные
popularity	популярность
population	населения
port	порт
portrait	портрет
pose	позы
position	позиция
positive	положительные
possess	обладают
possession	владение
possibility	возможность
possible	возможные
possibly	возможно
post	поместить
poster	плакат; постер
pot	горшок
potato	картофель
potential	потенциал
pound	фунт
pour	налить
poverty	бедность
powder	порошок
power	мощность
powerful	мощный
practical	практические
practice	практика
praise	похвалы
pray	молиться
prayer	молитва
predict	предсказать
prediction	предсказание; прогноз
prefer	предпочитают
pregnant	беременные
preparation	подготовка
prepare	подготовка
prepared	подготовлено
presence	присутствие
present	настоящее время
presentation	презентация
preserve	сохранить
president	президент
press	пресс
pressure	давление
pretend	вид
pretty	милая
prevent	предотвратить
previous	предыдущий
previously	ранее
price	цена
priest	священник
primary	первичный
prime	главный; первичный
prince	принц
princess	принцесса
principal	главный; директор (школы)
principle	принцип
print	печать
printer	принтер
printing	печать
priority	приоритет
prison	тюрьма
prisoner	заключенный
privacy	частная жизнь; конфиденциальность
private	частные
prize	премия
probably	вероятно
problem	проблема
procedure	процедура
process	процесс
produce	продукты
producer	продюсер
product	продукта
production	производство
profession	профессия
professional	профессиональные
professor	профессор
profile	профиль; анкета
profit	прибыль
program	программа
progress	прогресс
project	проект
promise	обещание
promote	содействие
pronounce	произнести
proof	доказательство
proper	правильное
properly	должным образом
property	недвижимость
proposal	предложение
propose	предложить
prospect	проспект
protect	защитить
protection	защита
protest	протест
proud	гордый
prove	доказать
provide	предоставить
psychologist	психолог
psychology	психология
public	общественный
publication	публикации
publish	опубликовать
pull	тяга
punish	наказать
punishment	наказание
purchase	покупка
pure	чистый
purple	фиолетовый
purpose	цель
pursue	продолжить
push	толчок
put	положите
qualification	квалификация
qualified	квалифицированных
qualify	квалификацию
quality	качество
quantity	количество
quarter	квартал
queen	королева
question	вопрос
quick	быстрый
quickly	быстро
quiet	тихий
quietly	тихо
quit	бросить
quite	довольно
quotation	цитата
quote	цитата
race (competition)	гонка; соревнование
race (of people)	раса; этническая группа
racing	гонки
radio	радио
railroad	железная дорога
rain	дождь
raise	поднять
range	диапазон
rank	ранг
rapid	быстрое
rapidly	быстро
rare	редкие
rarely	редко
rate	ставка
rather	скорее
raw	сырье
reach	достижения
react	РЕАКТ
reaction	реакция
read	читать
reader	читатель
reading	чтение
ready	готов
real	реальный
realistic	реалистичные
reality	реальность
realize	реализовать
really	действительно
reason	причина
reasonable	разумные
recall	напомнить
receipt	получение
receive	получить
recent	последние
recently	недавно
reception	прием
recipe	рецепт
recognize	признать
recommend	рекомендовать
recommendation	рекомендация; совет
record	запись
recording	запись
recover	восстановить
recycle	перерабатывать (отходы)
red	красный
reduce	уменьшить
reduction	сокращение
refer	обратитесь
reference	ссылка
reflect	отражать
refrigerator	холодильник
refuse1	отказываться
regard	связи
region	регион
regional	региональные
register	зарегистрироваться
regret	с сожалением
regular	регулярные
regularly	регулярно
regulation	регулирование
reject	отклонить
relate	связаны
related	связанные с
relation	связь
relationship	отношения
relative	относительная
relatively	относительно
relax	расслабиться
relaxed	расслабились
relaxing	расслабляющий
release	релиз
relevant	соответствующие
reliable	надёжный
relief	рельеф
religion	религия
religious	религиозные
rely	положиться
remain	оставаться
remark	замечание
remember	помните
remind	напомнить
remote	удаленный
remove	удалить
rent	аренда
repair	ремонт
repeat	повторите
repeated	повторяется
replace	заменить
reply	ответ
report	отчет
reporter	репортёр; журналист
represent	представляют
representative	представитель
reputation	репутация
request	запрос
require	требуется
requirement	требование
rescue	спасение
research	исследования
researcher	исследователь
reservation	бронирования
reserve	заповедник
resident	-резидентов
resist	сопротивление
resolve	разрешить
resort	курорт
resource	ресурс
respect	уважение
respond	ответить
response	ответ
responsibility	ответственность
responsible	ответственный
rest (remaining part)	остаток; оставшаяся часть
rest (sleep/relax)	отдых; отдыхать
restaurant	ресторан
result	результат
retain	сохранить
retire	на пенсию
retired	в отставке
return	возвращение
reveal	раскрыть
review	обзор
revise	пересмотреть
revolution	революция
reward	вознаграждение
rhythm	ритм
rice	райс
rich	богатые
rid	избавиться от
ride	поездка
right	правильно
ring1	кольцо
ring2	звонить; звон
rise	подъем
risk	риск
river	река
road	дорога
robot	робот
rock (stone)	камень; скала
rock (music)	рок (музыка)
role	роль
roll	рулон
romantic	романтический
roof	крыша
room	номер
root	корень
rope	канат
rough	грубый
round	раунд
route	маршрут
routine	обычные
row1	ряд
royal	королевский
rub	руб.
rubber	резина
rude	грубый
rule	правило
run	запуск
runner	бегун
running	запуск
rural	сельских районах
rush	раш
sad	грустно
sadly	к сожалению
safe	сейф
safety	безопасность
sail	парус
sailing	парусный спорт
sailor	матрос
salad	салат
salary	зарплата
sale	продажа
salt	соль
same	же
sample	пример
sand	песок
sandwich	бутерброд; сэндвич
satellite	спутник
satisfied	удовлетворены
satisfy	удовлетворить
Saturday	суббота
sauce	соус
save	сохранить
saving	сохранение
say	говорят
scale	шкала
scan	сканировать
scared	страшно
scary	страшный
scene	сцена
schedule	расписание
school	школа
science	наука
scientific	научные
scientist	ученый
score	оценка
scream	крик
screen	экран
script	сценарий; рукопись
sculpture	скульптура
sea	мне?
search	поиск
season	сезон
seat	сиденья
second1 (next after the first)	второй
second1 (unit of time)	секунда
secondary	среднее
secret	секрет
secretary	секретарь
section	раздел
sector	сектор
secure	безопасный
security	безопасность
see	см.
seed	семя
seek	искать
seem	похоже
select	выберите
selection	выбор
self	самоуправления
sell	продать
senate	сенат
senator	сенатор
send	отправить
senior	старший
sense	чувство
sensible	разумный
sensitive	чувствительных
sentence	предложение
separate	отдельный
September	сентябрь
sequence	последовательность
series	серия
serious	серьезные
seriously	серьезно
servant	слуга
serve	служить
service	услуги
session	сессия
set (put)	ставить; помещать
set (group)	набор; комплект
setting	обстановка; настройка
settle	урегулировать
seven	семь
seventeen	семнадцать
seventy	семьдесят
several	несколько
severe	тяжелая
sex	секс
sexual	сексуальной
shade	тень
shadow	тень
shake	встряхните
shall	должен
shallow	мелкий
shame	стыд
shape	форма
share	предоставить общий доступ
sharp	шарп
she	она
sheep	овцы
sheet	лист
shelf	полка
shell	оболочка
shelter	жилье
shift	сдвиг
shine	чистка
shiny	блестящие
ship	корабль
shirt	рубашка
shock	шок
shocked	шоке
shoe	чистка обуви
shoot	стрелять
shooting	стрельба
shop	магазин
shopping	шоппинг
short	короткие
shot	выстрел
should	следует
shoulder	плечо
shout	рупор
show	показать
shower	душ
shut	закрыть
shy	застенчивая(ый)
sick	болен
side	сторона
sight	прицел
sign	знак
signal	сигнал
significant	значительные
significantly	значительно
silence	тишина
silent	молчание
silk	шелк
silly	глупо
silver	серебро
similar	аналогичные
similarity	сходство
similarly	аналогичным образом
simple	простой
simply	просто
since	начиная с
sincere	искренне
sing	петь
singer	певица
singing	пение
single	одноместный
sink	раковина
sir	сэр
sister	сестра
sit	сидеть
site	сайт
situation	положение
six	шесть
sixteen	шестнадцать
sixty	шестьдесят
size	размер
ski	лыжа; кататься на лыжах
skiing	лыжный спорт; катание на лыжах
skill	мастерство
skin	кожа
skirt	юбка
sky	небо
slave	раб
sleep	сон
slice	ломтик
slide	слайд
slight	небольшое
slightly	слегка
slip	скольжения
slope	наклон
slow	медленно
slowly	медленно
small	маленький
smart	умный
smartphone	смартфон
smell	запах
smile	улыбка
smoke	дым
smoking	для некурящих
smooth	гладкая
snake	змея
sneaker	кроссовок
snow	снег
so	поэтому
soap	мыло
soccer	футбол
social	социальные
society	общество
sock	носок
soft	мягкий
software	программное обеспечение
soil	почвы
solar	солнечный
soldier	солдат
solid	твердые
solution	решение
solve	решения
some	некоторые
somebody	кто-то
someone	кто-то
something	что-то
sometimes	иногда
somewhat	несколько
somewhere	где-то
son	сын
song	песня
soon	скоро
sorry	извините
sort	сортировка
soul	душа
sound	звук
soup	суп
source	источник
south	южная
southern	южный
space	пространство
speak	говорят
speaker	спикер
special	специальные
specialist	специалист
species	вид (биол.)
specific	конкретные
specifically	специально
speech	речи
speed	скорость
spell	заклинание
spelling	правописание
spend	потратить
spending	расходы; траты
spicy	пряный
spider	паук
spirit	дух
spiritual	духовные
split	сплит
spoken	говорят
sponsor	спонсор; спонсировать
spoon	ложка
sport	спорт
spot	пятно
spread	распространение
spring	весна
square	площадь
stable	конюшня
stadium	стадион
staff	персонал
stage	этап
stair	лестницы
stamp	марка
stand	стенд
standard	стандарт
star	звезда
stare	смотреть
start	начало
state	государство
statement	заявление
station	станция
statistic	статистика; показатель
statue	статуя
status	статус
stay	пребывания
steady	устойчивый
steal	украсть
steel	сталь
steep	крутой
step	шаг
stick (push into/attach)	втыкать; прикреплять
stick (piece of wood)	палка; прутик
sticky	липкие
stiff	жесткая
still	до сих пор
stock	фондовая
stomach	желудок
stone	камень
stop	остановить
store	магазин
storm	шторм
story	история
stove	плита
straight	прямой
strange	странно
stranger	незнакомец
strategy	стратегия
stream	поток
street	улица
strength	прочность
stress	стресс
stretch	растянуть
strict	строгий
strike	забастовка
string	строка
strong	сильный
strongly	сильно
structure	структура
struggle	борьба
student	студент
studio	студия
study	исследование
stuff	материал
stupid	глупо
style	стиль
subject	тема
submit	подавать; представлять (документы)
substance	вещество
subway	метро
succeed	успех
success	успех
successful	успешные
successfully	успешно
such	такие
sudden	внезапное
suddenly	вдруг
suffer	страдают
sugar	сахар
suggest	предложить
suggestion	предложение
suit	костюм
suitable	подходит
sum	сумма
summarize	кратко излагать; подводить итог
summary	резюме
summer	лето
sun	солнце
Sunday	воскресенье
supermarket	супермаркет
supply	поставка
support	поддержка
supporter	сторонник
suppose	предположим, что
sure	уверен
surely	конечно
surface	поверхность
surgery	хирургия; операция
surprise	сюрприз
surprised	удивил
surprising	удивительно
surround	объемного звучания
surrounding	окружающие
survey	опрос
survive	выжить
suspect	подозреваемый
swear	клянусь
sweater	свитер
sweep	развертки
sweet	сладкий
swim	плавать
swimming	плавание
switch	переключатель
symbol	символ
sympathy	сочувствие
symptom	симптом
system	системы
table	таблица
tablet	таблетки
tail	хвост
take	возьмите
tale	сказка; история
talent	талант
talented	талантливый
talk	разговор
tall	талль
tank	танк
tape	лента
target	цель
task	задача
taste	вкус
tax	налог
taxi	такси
tea	чай
teach	учить
teacher	учитель
teaching	обучение
team	команда
tear1	слеза
tear2	рвать; разрывать
technical	технические
technique	техника
technology	технология
teenage	подростковый
teenager	подросток
telephone	телефон
television	телевидение
tell	скажите
temperature	температура
temporary	временные
ten	десять
tend	как правило
tennis	теннис
tent	палатка
term	срок
terrible	страшные
test	тест
text	текст
than	чем
thank	спасибо
thanks	спасибо
that	что
the	определённый артикль (the)
theater	театр
their	их
theirs	их
them	их
theme	тема
themselves	сами
then	затем
theory	теория
therapy	терапия; лечение
there	там
therefore	поэтому
they	они
thick	толстые
thief	вор
thin	тонкий
thing	вещь
think	подумайте
thinking	мышление
third	третий
thirsty	пить
thirteen	тринадцать
thirty	тридцать
this	этот
though	хотя
thought	мысли
thousand	тысяча
threat	угроза
threaten	угрожают
three	три
throat	горло
through	через
throughout	на протяжении
throw	бросать
Thursday	четверг
thus	таким образом
ticket	билет
tie	галстук
tight	туго
till	до сих
time	время
tiny	крошечные
tip	подсказка
tire	шины
tired	устал
title	название
to	кому
today	сегодня
toe	мыс
together	вместе
toilet	туалет
tomato	помидор
tomorrow	завтра
ton	тонн
tone	тон
tongue	язык
tonight	сегодня вечером
too	слишком
tool	инструмент
tooth	зуб
top	вверх
topic	тема
total	итого
totally	полностью
touch	сенсорный
tough	жесткие
tour	тур
tourism	туризм
tourist	турист
toward	на пути к
towel	полотенце
tower	башня
town	город
toy	игрушка
track	трек
trade	торговля
tradition	традиция
traditional	традиционные
traffic	трафик
train	поезд
trainer	тренер
training	обучение
transfer	передача
transform	преобразование
transition	переход
translate	перевести
translation	перевод
transport	транспорт
transportation	транспорт
trash	мусор
travel	путешествия
traveler	путешественник
treat	лечить
treatment	лечение
tree	дерево
trend	тренд
trial	судебное разбирательство
trick	трюк
trip	путешествие
tropical	тропический
trouble	проблемы
truck	грузовик
true	значение true
truly	действительно
trust	доверие
truth	правда
try	попробуйте
T-shirt	футболка
tube	трубка
Tuesday	вторник
tune	мелодия
tunnel	туннель
turn	поворот
TV	ТЕЛЕВИЗОР
twelve	двенадцать
twenty	двадцать
twice	дважды
twin	номер Твин
two	два
type	тип
typical	типичный
typically	обычно
ugly	уродливые
ultimately	в конечном итоге
umbrella	зонтик
unable	не удается
uncle	дядя
uncomfortable	неудобно
unconscious	бессознательное
under	под
underground	метро
understand	понять
understanding	понимание
underwear	нижнее белье
unemployed	безработные
unemployment	уровень безработицы
unexpected	неожиданный
unfair	несправедливо
unfortunately	к сожалению
unhappy	недовольны
uniform	форма
union	союз
unique	уникальный
unit	единица
united	юнайтед
universe	вселенная
university	университет
unknown	неизвестно
unless	если
unlike	в отличие от
unlikely	вряд ли
unnecessary	ненужные
unpleasant	неприятно
until	до
unusual	необычные
up	вверх
update	обновление; обновлять
upon	после
upper	верхняя
upset	расстройство
upstairs	наверх
upward	вверх
urban	цикл
urge	желание
us	нас
use	использование
used1	использованный; подержанный
used2	привыкший (used to)
used to	используется для
useful	полезно
user	пользователь
usual	обычный
usually	обычно
vacation	отдых
valley	долина
valuable	ценный
value	значение
van	ван
variety	разнообразие
various	различные
vary	различаются
vast	подавляющее
vegetable	овощной
vehicle	транспортное средство
venue	место проведения
version	версия
very	очень
via	через
victim	жертва
victory	победа
video	видео
view	вид
viewer	зритель; просмотрщик
village	деревня
violence	насилие
violent	насильственные
virtual	виртуальный
virus	вирус
vision	видение
visit	посетить
visitor	посетитель
visual	визуальный; зрительный
vital	жизненно
vitamin	витамин
voice	голос
volume	объем
volunteer	доброволец; волонтёр
vote	голосование
wage	заработная плата
wait	подождите
waiter	официант
wake	звонок
walk	прогулка
wall	стена
want	хотите
war	война
warm	тепло
warn	предупредить
warning	предупреждение
wash	мойка
washing	мойка
waste	отходы
watch	часы
water	воды
wave	волна
way	путь
we	мы
weak	слабый
weakness	слабость
wealth	богатство
wealthy	богатый
weapon	оружие
wear	износ
weather	погода
web	веб
website	веб-сайт
wedding	свадьба
Wednesday	среда
week	неделя
weekend	выходные
weigh	взвешивание
weight	вес
welcome	добро пожаловать
well	хорошо
west	запад
western	западная
wet	мокрый
what	то, что
whatever	независимо от
wheel	колесо
when	когда
whenever	всякий раз, когда
where	где
whereas	тогда как
wherever	где
whether	ли
which	который
while	во время
whisper	шепот
white	белый
who	кто
whole	целом
whom	кого
whose	чья
why	почему
wide	широкий
widely	широко
wife	жена
wild	дикий
wildlife	дикая природа; дикие животные
will	будет
willing	готовность
win	победа
wind1	ветер
wind2	наматывать; заводить (часы)
window	окно
wine	вина
wing	крыло
winner	победитель
winter	зима
wire	проволока
wise	мудрый
wish	желание
with	с
within	в рамках
without	без
witness	свидетель
woman	женщина
wonder	чудо
wonderful	превосходно
wood	вуд
wooden	деревянные
wool	шерсть
word	слово
work	работа
worker	работник
working	рабочая
world	мир
worldwide	по всему миру
worried	беспокоило
worry	беспокоиться
worse	хуже
worst	наихудших
worth	стоит
would	будет
wound	рана
wow	вау; ух ты
wrap	обертывание
write	написать
writer	писатель
writing	написание
written	автор
wrong	неправильно
yard	двор
yeah	да
year	год
yellow	желтый
yes	да
yesterday	вчера
yet	тем не менее
you	вы
young	молодой
your	ваш
yours	ваш
yourself	себя
youth	молодежь
zero	ноль
zone	зона
